region,herd,cow,study_lact,herd_size,mwp,parity,milk120,calv_dt,cf,fs,cc,wpc,spc,twin,dyst,rp,vag_disch,h7
1,5,1306,1,125,39,2,2388.5,1996-10-19,178,1,178,139,1,0,0,0,0,1
1,101,1307,1,172,31,3,3717.800049,1997-09-09,119,1,119,88,1,0,0,0,0,0
1,101,1308,1,172,31,5,4019.100098,1997-07-14,,,43,12,,0,0,0,0,0
1,101,1309,1,172,31,5,3034.100098,1997-02-25,44,0,157,126,5,0,0,0,0,0
1,101,1310,1,172,31,5,4281,1997-05-19,45,,,,10,0,0,0,0,0
1,101,1311,1,172,31,4,3026,1997-03-04,49,,,,2,0,0,0,0,0
1,101,1312,1,172,31,5,3460.399902,1997-02-28,44,0,140,109,4,0,0,0,0,0
1,101,1313,1,172,31,5,3005.399902,1997-09-30,,,42,11,,0,0,0,0,0
1,101,1314,1,172,31,5,4240,1997-05-08,57,1,57,26,1,0,0,0,0,0
1,101,1315,1,172,31,4,4569.200195,1997-09-04,89,0,106,75,1,0,0,0,0,0
1,101,1316,1,172,31,5,3986.899902,1997-04-19,81,1,81,50,1,0,0,0,0,0
1,101,1317,1,172,31,5,2870.699951,1997-08-03,43,0,53,22,2,0,0,0,0,0
1,101,1318,1,172,31,4,3839.199951,1997-04-15,170,1,170,139,1,0,0,1,0,0
1,101,1319,1,172,31,4,2657,1997-03-03,79,1,79,48,1,0,0,0,0,0
1,101,1320,1,172,31,4,3516.800049,1996-09-28,44,,,,7,0,0,1,0,0
1,101,1321,1,172,31,4,3008.399902,1997-03-06,81,1,81,50,1,0,0,0,0,0
1,101,1322,1,172,31,4,3783.300049,1997-05-01,64,1,64,33,1,0,0,0,0,0
1,101,1323,1,172,31,4,4080.899902,1997-06-02,,,71,40,,0,0,0,0,0
1,101,1324,1,172,31,4,3514.600098,1997-08-19,38,1,38,7,1,0,0,0,0,0
1,101,1325,1,172,31,3,3766,1997-04-19,48,0,91,60,2,0,0,0,0,0
1,101,1326,1,172,31,3,3391.800049,1997-03-03,54,1,54,23,1,0,0,0,0,0
1,101,1327,1,172,31,3,,1997-08-15,43,1,43,12,1,0,0,0,0,0
1,101,1328,1,172,31,3,3997.399902,1997-07-10,,,110,79,,0,0,0,0,0
1,101,1329,1,172,31,3,2795,1997-06-23,57,,,,9,0,0,0,0,0
1,101,1330,1,172,31,4,3423.899902,1997-10-03,38,0,98,67,2,0,0,0,0,0
1,101,1331,1,172,31,4,3694.300049,1997-03-04,44,0,187,156,5,0,0,0,0,0
1,101,1332,1,172,31,5,3586.199951,1997-06-11,46,0,102,71,2,0,0,0,0,0
1,101,1333,1,172,31,4,3556.600098,1997-06-02,,,71,40,,0,0,0,0,0
1,101,1334,1,172,31,3,2317.199951,1997-03-10,44,0,68,37,2,0,0,0,0,0
1,101,1335,1,172,31,4,3041.300049,1997-06-07,,,52,21,,0,0,0,0,0
1,101,1336,1,172,31,4,3609.199951,1997-04-28,59,0,117,86,2,0,0,0,0,0
1,101,1337,1,172,31,4,4115.299805,1997-07-10,,,138,107,,0,0,0,0,0
1,101,1338,1,172,31,4,2765,1997-04-07,,,43,12,,0,0,0,0,0
1,101,1339,1,172,31,4,3071.800049,1997-03-03,108,0,135,104,2,0,0,0,0,0
1,101,1340,1,172,31,4,3095.699951,1997-05-01,47,0,67,36,2,0,0,0,0,0
1,101,1341,1,172,31,3,3509.399902,1997-07-01,41,1,41,10,1,0,0,0,0,0
1,101,1342,1,172,31,4,2596.300049,1997-05-10,44,0,113,82,3,0,0,0,0,0
1,101,1343,1,172,31,4,2333.800049,1997-06-29,62,0,146,115,4,0,0,0,0,0
1,101,1344,1,172,31,3,,1996-12-23,51,0,119,88,2,0,0,0,0,0
1,101,1345,1,172,31,4,3037.899902,1997-06-29,62,0,128,97,3,0,0,0,0,0
1,101,1346,1,172,31,3,3823.600098,1996-12-30,45,1,45,14,1,0,0,0,0,0
1,101,1346,2,172,31,4,3464.399902,1997-11-23,108,,,,1,0,0,0,0,0
1,101,1347,1,172,31,4,3161.5,1997-11-04,87,,,,3,0,0,0,0,0
1,101,1348,1,172,31,4,3402.399902,1997-07-22,51,0,95,64,2,0,0,0,0,0
1,101,1349,1,172,31,3,3344.800049,1997-01-20,43,1,43,12,1,0,0,0,0,0
1,101,1350,1,172,31,3,4409.899902,1996-10-26,49,0,88,57,2,0,1,0,0,0
1,101,1351,1,172,31,3,3798.399902,1996-11-03,46,1,46,15,1,0,0,0,0,0
1,101,1351,2,172,31,4,3305.399902,1997-09-17,47,0,175,144,4,0,0,0,0,0
1,101,1352,1,172,31,3,3600.899902,1997-04-15,95,0,170,139,5,0,0,0,0,0
1,101,1353,1,172,31,3,4019.699951,1997-03-30,58,0,227,196,7,0,0,0,0,0
1,101,1354,1,172,31,3,3228.699951,1997-05-21,96,0,181,150,2,0,0,0,0,0
1,101,1355,1,172,31,3,2829.399902,1997-03-24,46,1,46,15,1,0,0,0,0,0
1,101,1356,1,172,31,3,2803.699951,1997-03-15,32,0,115,84,3,0,0,0,0,0
1,101,1357,1,172,31,2,3155,1997-11-03,,,74,43,,0,0,0,0,0
1,101,1358,1,172,31,3,3023,1997-07-03,58,0,159,128,4,0,0,0,0,0
1,101,1359,1,172,31,2,3548.199951,1997-10-31,61,,,,1,0,0,0,0,0
1,101,1360,1,172,31,2,3077.600098,1997-03-17,46,1,46,15,1,0,0,0,0,0
1,101,1361,1,172,31,2,3519.800049,1997-03-14,46,1,46,15,1,0,0,0,0,0
1,101,1362,1,172,31,2,3455.5,1996-10-24,51,0,174,143,6,0,0,0,0,0
1,101,1363,1,172,31,3,3085.5,1997-06-16,170,0,190,159,2,0,0,0,0,0
1,101,1364,1,172,31,2,3625.800049,1996-10-26,51,0,97,66,3,0,0,0,0,0
1,101,1364,2,172,31,3,3237.399902,1997-11-06,,,61,30,,0,0,0,0,0
1,101,1365,1,172,31,3,3638.399902,1997-04-12,63,,,,5,0,0,0,0,0
1,101,1366,1,172,31,2,3895.100098,1996-09-02,52,0,105,74,2,0,0,0,0,0
1,101,1366,2,172,31,3,3921.199951,1997-09-22,45,1,45,14,1,0,0,0,0,0
1,101,1367,1,172,31,2,2991.199951,1996-10-11,49,0,133,102,2,0,0,0,0,0
1,101,1367,2,172,31,3,2894.399902,1997-11-25,,,49,18,,0,0,0,0,0
1,101,1368,1,172,31,3,2514,1997-04-19,91,1,91,60,1,0,0,0,0,0
1,101,1369,1,172,31,2,3485.199951,1997-01-21,46,0,237,206,5,0,0,0,0,0
1,101,1370,1,172,31,3,3492,1997-05-28,41,0,65,34,2,0,0,0,0,0
1,101,1371,1,172,31,2,3060.899902,1997-07-14,47,1,47,16,1,0,0,0,0,0
1,101,1372,1,172,31,3,3995.600098,1997-08-30,86,0,108,77,1,0,0,0,0,0
1,101,1373,1,172,31,3,3508.300049,1996-12-28,47,0,113,82,2,0,0,0,0,0
1,101,1374,1,172,31,3,3663.600098,1997-11-04,62,,,,2,0,0,0,0,0
1,101,1375,1,172,31,3,4485.399902,1996-12-21,64,0,140,109,3,0,0,0,0,0
1,101,1376,1,172,31,3,3922,1997-10-23,66,0,85,54,1,0,0,0,0,0
1,101,1377,1,172,31,3,3650.600098,1996-12-22,45,0,67,36,2,0,0,0,0,0
1,101,1378,1,172,31,3,3479.199951,1996-11-11,73,1,73,42,1,0,0,0,0,0
1,101,1378,2,172,31,4,3278.800049,1997-11-01,,,52,21,,0,0,0,0,0
1,101,1379,1,172,31,1,2680.199951,1996-12-14,46,1,46,15,1,0,0,0,0,0
1,101,1379,2,172,31,2,3922.199951,1997-11-10,,,50,19,,0,0,0,0,0
1,101,1380,1,172,31,1,2540.899902,1997-06-01,131,0,156,125,1,0,0,0,0,0
1,101,1381,1,172,31,2,2635.800049,1997-04-02,57,1,57,26,1,0,0,0,0,0
1,101,1382,1,172,31,2,2943.199951,1997-05-23,55,1,55,24,1,0,0,0,0,0
1,101,1383,1,172,31,2,2635.399902,1997-05-01,68,0,150,119,3,0,0,0,0,0
1,101,1384,1,172,31,2,2785.5,1997-05-10,55,0,127,96,3,0,0,0,0,0
1,101,1385,1,172,31,2,,1997-06-01,,,,,,0,0,0,0,0
1,101,1386,1,172,31,1,1494.900024,1997-05-11,,,,,,0,0,0,0,0
1,101,1387,1,172,31,2,3223.300049,1997-07-07,64,0,113,82,2,0,0,0,0,0
1,101,1388,1,172,31,2,3230.5,1997-03-14,81,1,81,50,1,0,0,0,0,0
1,101,1389,1,172,31,1,2587.199951,1997-06-14,63,1,63,32,1,0,0,0,0,0
1,101,1390,1,172,31,2,2975.399902,1997-04-07,50,0,96,65,3,0,0,0,0,0
1,101,1391,1,172,31,1,2239.199951,1997-01-08,76,1,76,45,1,0,0,0,0,0
1,101,1392,1,172,31,1,2637.100098,1997-01-21,49,0,257,226,5,0,0,0,0,0
1,101,1393,1,172,31,1,2447.600098,1997-04-15,42,0,132,101,4,0,0,0,0,0
1,101,1394,1,172,31,2,2670.100098,1997-06-21,65,0,85,54,2,0,0,0,1,0
1,101,1395,1,172,31,2,2751.399902,1997-03-23,70,1,70,39,1,0,0,0,0,0
1,101,1396,1,172,31,1,2358.600098,1997-01-01,50,0,93,62,2,0,0,0,0,0
1,101,1397,1,172,31,1,,1996-12-23,53,0,172,141,7,0,0,0,0,0
1,101,1398,1,172,31,2,1715,1997-02-25,59,1,59,28,1,0,0,0,0,0
1,101,1399,1,172,31,1,,1996-12-26,,,,,,0,0,0,0,0
1,101,1400,1,172,31,2,2909.5,1997-07-03,58,0,79,48,2,0,0,0,0,0
1,101,1401,1,172,31,4,3480.899902,1996-10-01,55,0,75,44,2,0,0,0,0,0
1,101,1402,1,172,31,1,2602.399902,1997-01-02,45,0,89,58,2,0,0,0,0,0
1,101,1403,1,172,31,2,1629.900024,1997-02-24,51,0,115,84,4,0,0,0,0,0
1,101,1404,1,172,31,1,3427,1997-02-27,55,0,166,135,2,0,1,0,0,0
1,101,1405,1,172,31,1,2425.600098,1996-12-28,65,0,113,82,2,0,0,0,0,0
1,101,1406,1,172,31,1,2388.100098,1997-01-14,72,0,150,119,3,0,0,0,0,0
1,101,1407,1,172,31,2,2229.100098,1997-06-29,61,1,61,30,1,0,0,0,0,0
1,101,1408,1,172,31,4,2854.800049,1997-08-30,27,0,43,12,2,0,0,0,0,0
1,101,1409,1,172,31,1,2577.5,1997-02-13,44,1,44,13,1,0,0,0,0,0
1,101,1410,1,172,31,1,1974.800049,1997-01-05,112,1,112,81,1,0,0,0,0,0
1,101,1411,1,172,31,1,2873,1997-06-03,50,1,50,19,1,0,0,0,0,0
1,101,1412,1,172,31,1,1947.300049,1996-12-30,101,1,101,70,1,0,0,0,0,0
1,101,1413,1,172,31,1,2442.800049,1997-01-09,45,0,198,167,4,0,0,0,0,0
1,101,1414,1,172,31,1,2230.600098,1997-01-01,46,1,46,15,1,0,0,0,0,0
1,101,1414,2,172,31,2,2484.100098,1997-11-18,,,56,25,,0,0,0,0,0
1,101,1415,1,172,31,1,2636.699951,1996-11-29,44,1,44,13,1,0,0,0,0,0
1,101,1416,1,172,31,1,3747.100098,1997-08-20,36,1,36,5,1,0,0,0,0,0
1,101,1417,1,172,31,1,2363.300049,1996-12-30,51,1,51,20,1,0,0,0,0,0
1,101,1417,2,172,31,2,3482.199951,1997-11-23,21,0,110,79,1,0,0,0,0,0
1,101,1418,1,172,31,1,3309.100098,1997-10-07,,,98,67,,0,0,0,0,0
1,101,1419,1,172,31,1,2529.5,1996-12-30,59,0,103,72,2,0,0,0,0,0
1,101,1420,1,172,31,1,2485.600098,1997-03-24,65,0,87,56,2,0,0,0,0,0
1,101,1421,1,172,31,1,2635.5,1996-12-20,102,0,137,106,1,0,0,0,0,0
1,101,1422,1,172,31,1,2501.899902,1997-03-24,84,0,153,122,2,0,0,0,0,0
1,101,1423,1,172,31,1,1733.5,1996-12-23,72,1,72,41,1,0,0,0,0,0
1,101,1424,1,172,31,1,2464,1997-01-01,46,1,46,15,1,0,0,0,0,0
1,101,1424,2,172,31,2,3482,1997-11-27,,,57,26,,0,0,0,0,0
1,101,1425,1,172,31,1,2340.899902,1996-12-30,45,1,45,14,1,0,0,0,0,0
1,101,1426,1,172,31,1,2447.399902,1997-01-05,45,0,64,33,2,0,0,0,0,0
1,101,1427,1,172,31,1,2438.600098,1997-04-15,46,1,46,15,1,0,0,0,0,0
1,101,1428,1,172,31,1,2525.5,1997-06-02,65,,,,3,0,0,0,0,0
1,101,1429,1,172,31,1,2462.800049,1997-06-14,45,,,,4,0,0,0,0,0
1,101,1430,1,172,31,1,2075.399902,1997-04-17,63,0,103,72,2,0,0,0,0,0
1,101,1431,1,172,31,5,,1997-07-07,,,,,,0,0,0,0,0
1,101,1432,1,172,31,4,3466.399902,1996-10-31,44,1,44,13,1,0,0,0,0,0
1,101,1432,2,172,31,5,3051.399902,1997-09-22,51,1,51,20,1,0,0,0,0,0
1,101,1433,1,172,31,1,2035.300049,1997-04-15,42,0,143,112,3,0,0,0,0,0
1,101,1434,1,172,31,5,2614.699951,1997-02-07,54,0,227,196,5,0,0,1,0,0
1,101,1435,1,172,31,1,2646.100098,1997-05-10,34,0,54,23,2,0,0,0,0,0
1,101,1436,1,172,31,1,2231.800049,1997-08-15,42,1,42,11,1,0,0,0,0,0
1,101,1437,1,172,31,4,3495.399902,1996-12-20,,,,,,0,0,0,0,0
1,101,1438,1,172,31,4,,1996-10-31,,,,,,0,0,0,0,0
1,101,1439,1,172,31,5,2732,1997-09-17,58,0,137,106,2,0,0,0,0,0
1,101,1440,1,172,31,1,2721.199951,1997-10-20,162,,,,2,0,0,0,0,0
1,101,1441,1,172,31,1,2369.800049,1997-09-07,65,1,65,34,1,0,0,0,0,0
1,101,1442,1,172,31,1,2725.800049,1997-11-23,46,,,,2,0,0,0,1,0
1,101,1443,1,172,31,1,2885.300049,1997-10-20,72,0,91,60,2,0,0,0,0,0
1,101,1444,1,172,31,1,1940.900024,1997-10-20,,,81,50,,0,0,0,0,0
1,101,1445,1,172,31,1,2143.399902,1997-11-10,,,57,26,,0,0,0,0,0
1,101,1446,1,172,31,1,,1997-10-31,,,,,,0,1,0,0,0
1,101,1447,1,172,31,1,2401.199951,1997-10-20,,,57,26,,0,0,0,0,0
1,101,1448,1,172,31,1,2271.399902,1997-10-20,,,78,47,,0,0,0,0,0
1,101,1449,1,172,31,1,2424,1997-10-20,46,0,69,38,2,0,0,0,0,0
1,101,1450,1,172,31,3,,1997-01-01,,,,,,0,0,0,0,0
1,101,1451,1,172,31,5,3718.300049,1997-07-01,82,0,102,71,2,0,0,0,0,0
1,101,1452,1,172,31,5,2637.199951,1997-06-21,53,0,229,198,5,0,0,0,0,0
1,101,1453,1,172,31,5,3862.600098,1996-12-13,63,0,131,100,3,0,0,0,0,0
1,101,1454,1,172,31,5,3738.399902,1997-06-02,92,0,116,85,2,0,0,0,0,0
1,101,1455,1,172,31,5,4932.700195,1996-11-29,47,0,107,76,3,0,0,0,0,0
1,101,1456,1,172,31,5,2610,1997-02-01,42,0,67,36,2,0,0,0,0,0
1,101,1457,1,172,31,4,3944.699951,1997-03-19,107,1,107,76,1,0,0,0,0,0
1,101,1458,1,172,31,5,2665.699951,1997-09-07,68,1,68,37,1,0,0,0,0,0
1,101,1459,1,172,31,6,,1997-06-23,,,50,19,,0,0,0,0,0
1,101,1460,1,172,31,5,,1996-10-30,,,,,,0,0,0,0,0
1,101,1461,1,172,31,5,3493.600098,1997-08-03,39,0,131,100,3,0,0,0,0,0
1,101,1462,1,172,31,5,,1997-03-28,61,,,,3,0,0,0,0,0
1,101,1463,1,172,31,4,2282.399902,1997-08-01,45,0,102,71,2,0,0,0,0,0
1,101,1464,1,172,31,5,3385.600098,1996-11-18,50,0,95,64,2,0,0,0,0,0
1,101,1464,2,172,31,6,3357.5,1997-11-25,96,,,,3,0,0,0,0,0
1,101,1465,1,172,31,4,,1997-03-25,,,,,,0,0,0,0,0
1,101,1466,1,172,31,4,3463.399902,1996-10-12,46,1,46,15,1,0,0,0,0,0
1,101,1466,2,172,31,5,,1997-08-26,,,,,,0,0,0,0,0
1,101,1467,1,172,31,5,3312.699951,1997-03-03,46,1,46,15,1,0,0,0,0,0
1,101,1468,1,172,31,5,3928.399902,1996-11-22,52,0,71,40,2,0,0,0,0,0
1,101,1468,2,172,31,6,3515.800049,1997-11-06,38,1,38,7,1,0,0,0,0,0
1,101,1469,1,172,31,4,3038,1996-11-08,63,1,63,32,1,0,0,0,0,0
1,101,1469,2,172,31,5,2042.800049,1997-10-21,,,63,32,,0,0,0,0,0
1,101,1470,1,172,31,4,2581.800049,1997-04-02,44,0,154,123,3,0,0,0,0,0
1,101,1471,1,172,31,5,3473.399902,1997-03-01,109,0,226,195,5,0,1,0,0,0
1,101,1472,1,172,31,4,3348.899902,1997-04-28,94,1,94,63,1,0,0,0,0,0
1,101,1473,1,172,31,4,3311.899902,1997-05-03,67,1,67,36,1,0,0,0,0,0
1,101,1474,1,172,31,5,3557.399902,1996-10-24,46,1,46,15,1,0,0,0,0,0
1,101,1474,2,172,31,6,2850.399902,1997-09-13,,,52,21,,0,0,0,0,0
1,101,1475,1,172,31,4,3005.300049,1997-08-10,44,0,93,62,1,0,0,0,0,0
1,101,1476,1,172,31,5,2557.899902,1997-05-03,45,0,128,97,3,0,0,0,0,0
1,101,1477,1,172,31,4,3394.600098,1997-01-31,56,,,,3,0,0,0,0,0
1,101,1478,1,172,31,5,3460.600098,1997-04-25,45,0,147,116,3,0,0,0,0,0
1,101,1479,1,172,31,5,3366.100098,1996-12-21,79,1,79,48,1,0,0,0,0,0
1,101,1480,1,172,31,4,3940.399902,1996-12-30,44,0,272,241,8,0,0,0,0,0
1,101,1481,1,172,31,5,3777.600098,1997-04-17,48,0,145,114,4,0,0,0,0,0
1,101,1482,1,172,31,5,3400.300049,1997-05-15,46,0,65,34,2,0,0,0,0,0
1,101,1483,1,172,31,4,3152.399902,1996-09-23,49,1,49,18,1,0,0,0,0,0
1,101,1484,1,172,31,4,3068.199951,1996-11-17,47,0,115,84,5,0,0,0,0,0
1,101,1485,1,172,31,5,3732.100098,1997-04-15,46,0,92,61,2,0,0,0,0,0
1,101,1486,1,172,31,4,3280.800049,1996-12-11,47,0,137,106,4,0,0,0,0,0
1,101,1487,1,172,31,3,4015.699951,1996-10-24,104,0,290,259,6,0,0,0,0,0
1,101,1488,1,172,31,3,2932.300049,1997-09-13,70,,,,4,0,0,0,0,0
1,101,1489,1,172,31,3,2469.399902,1997-04-21,61,0,125,94,2,0,0,0,0,0
1,101,1490,1,172,31,4,3971.5,1997-07-03,57,0,124,93,1,0,0,0,0,0
1,101,1491,1,172,31,3,3128.899902,1997-08-15,44,1,44,13,1,0,0,0,0,0
1,101,1492,1,172,31,3,2748.100098,1997-01-14,66,,,,3,0,0,0,0,0
1,101,1493,1,172,31,3,3861.300049,1997-06-12,107,0,231,200,2,0,0,0,0,0
1,101,1494,1,172,31,2,2968.199951,1996-12-23,52,1,52,21,1,0,0,0,0,0
1,101,1494,2,172,31,3,3531,1997-11-19,113,0,162,131,2,0,0,0,0,0
1,101,1495,1,172,31,2,3184.5,1996-10-30,48,,,,6,0,0,0,0,0
1,101,1496,1,172,31,3,3492.5,1997-06-25,46,0,146,115,3,0,0,0,0,0
1,101,1497,1,172,31,2,3310.699951,1997-05-26,82,1,82,51,1,0,0,0,0,0
1,101,1498,1,172,31,5,3266.5,1997-02-28,43,0,91,60,2,0,0,0,0,0
1,101,1499,1,172,31,4,4070,1996-10-04,52,0,188,157,6,0,0,0,0,0
1,102,1500,1,124,46,5,2711.5,1996-10-08,69,1,69,23,1,0,0,0,0,0
1,102,1500,2,124,46,6,3074.300049,1997-10-02,87,0,130,84,3,0,0,0,0,0
1,102,1501,1,124,46,5,,1997-02-16,71,,,,1,0,1,1,0,0
1,102,1502,1,124,46,5,3103.399902,1997-02-19,80,1,80,34,1,0,0,0,0,0
1,102,1503,1,124,46,5,3273.100098,1997-01-19,71,1,71,25,1,0,1,0,0,0
1,102,1504,1,124,46,5,2427.199951,1997-03-23,60,1,60,14,1,0,0,0,0,0
1,102,1505,1,124,46,6,2957.5,1997-07-12,87,1,87,41,1,0,0,0,0,0
1,102,1506,1,124,46,6,3927,1997-08-13,59,1,59,13,1,0,0,0,0,0
1,102,1507,1,124,46,5,3784.5,1997-10-24,76,1,76,30,1,0,0,0,0,0
1,102,1508,1,124,46,6,3421.5,1997-07-06,116,0,140,94,2,0,0,0,0,0
1,102,1509,1,124,46,5,3159.399902,1997-04-28,70,0,143,97,4,0,0,0,0,0
1,102,1510,1,124,46,5,3186.5,1996-12-06,112,0,287,241,4,0,0,0,0,0
1,102,1511,1,124,46,5,2877.399902,1997-05-29,83,0,122,76,2,0,0,0,0,0
1,102,1512,1,124,46,6,3176.5,1997-04-09,65,0,137,91,2,0,1,0,0,0
1,102,1513,1,124,46,4,3444.399902,1996-09-16,65,0,183,137,5,0,0,0,0,0
1,102,1514,1,124,46,5,3926.199951,1997-04-27,72,1,72,26,1,0,0,0,0,0
1,102,1515,1,124,46,5,3134.699951,1997-07-19,77,0,96,50,2,0,0,0,0,0
1,102,1516,1,124,46,5,3442.300049,1997-09-15,224,,,,1,0,0,0,0,0
1,102,1517,1,124,46,4,3500.699951,1997-05-09,86,,,,9,0,0,0,0,0
1,102,1518,1,124,46,5,2700.399902,1996-09-15,92,0,151,105,4,0,0,0,0,0
1,102,1518,2,124,46,6,3177,1997-11-17,90,0,148,102,2,0,0,0,0,0
1,102,1519,1,124,46,5,3657.300049,1997-10-14,107,0,217,171,4,0,0,0,0,0
1,102,1520,1,124,46,4,,1997-01-16,74,,,,2,0,0,0,0,0
1,102,1521,1,124,46,5,3019.5,1996-12-10,74,0,150,104,4,0,0,0,0,0
1,102,1522,1,124,46,5,2496.600098,1996-09-07,65,1,65,19,1,0,0,0,0,0
1,102,1523,1,124,46,5,3938,1997-03-20,81,0,241,195,5,0,0,0,0,0
1,102,1524,1,124,46,6,2917.199951,1997-10-20,78,0,134,88,2,0,0,0,0,0
1,102,1525,1,124,46,5,2347.100098,1997-05-16,75,0,98,52,2,0,0,0,0,0
1,102,1526,1,124,46,5,3048,1997-11-05,68,,,,5,0,0,1,0,0
1,102,1527,1,124,46,5,2911.899902,1997-03-17,69,0,118,72,3,0,0,0,0,0
1,102,1528,1,124,46,5,2756.100098,1996-10-06,69,0,120,74,2,0,0,0,0,0
1,102,1529,1,124,46,5,2117.699951,1997-04-05,169,1,169,123,1,0,0,0,0,0
1,102,1530,1,124,46,5,2510.600098,1996-09-05,96,0,170,124,3,0,0,0,0,0
1,102,1531,1,124,46,6,2813.399902,1997-03-30,77,1,77,31,1,0,0,0,0,0
1,102,1532,1,124,46,5,2705.800049,1996-10-08,78,0,96,50,2,0,0,0,0,0
1,102,1533,1,124,46,6,3289.199951,1997-09-04,68,,,,2,0,0,0,0,0
1,102,1534,1,124,46,5,3422.699951,1997-05-25,71,,,,1,0,0,0,0,0
1,102,1535,1,124,46,4,2507.899902,1997-01-26,60,0,114,68,2,0,0,0,0,0
1,102,1536,1,124,46,5,2729.600098,1996-10-19,78,0,118,72,2,0,0,1,0,0
1,102,1536,2,124,46,6,,1997-11-29,,,,,,0,0,1,0,0
1,102,1537,1,124,46,5,3087.600098,1997-05-29,70,1,70,24,1,0,0,0,0,0
1,102,1538,1,124,46,5,,1997-05-12,,,,,,0,0,0,0,0
1,102,1539,1,124,46,5,3908.399902,1997-07-22,114,1,114,68,1,0,0,0,0,0
1,102,1540,1,124,46,5,3419.199951,1997-06-21,121,1,121,75,1,0,0,0,0,0
1,102,1541,1,124,46,5,2446.800049,1996-11-16,57,0,145,99,4,0,0,0,0,0
1,102,1542,1,124,46,5,3364.399902,1997-03-21,77,0,122,76,3,0,0,0,0,0
1,102,1543,1,124,46,5,3316.800049,1997-02-18,69,0,92,46,2,0,1,1,0,0
1,102,1544,1,124,46,6,2932.399902,1997-05-22,67,1,67,21,1,0,0,0,0,0
1,102,1545,1,124,46,5,2418.699951,1997-02-23,73,1,73,27,1,0,0,0,0,0
1,102,1546,1,124,46,5,3593,1997-01-22,87,0,128,82,3,0,0,1,0,0
1,102,1547,1,124,46,5,3092.300049,1996-12-29,99,1,99,53,1,0,0,1,0,0
1,102,1548,1,124,46,5,3552.699951,1997-06-19,65,0,86,40,2,0,0,0,0,0
1,102,1549,1,124,46,5,3104.100098,1997-06-05,70,0,109,63,3,0,0,0,0,0
1,102,1550,1,124,46,5,3465.699951,1996-11-29,61,0,164,118,2,0,1,1,0,0
1,102,1551,1,124,46,6,2743.5,1997-02-17,74,0,95,49,2,0,0,0,0,0
1,102,1552,1,124,46,4,2934.399902,1997-01-17,72,1,72,26,1,0,0,0,0,0
1,102,1553,1,124,46,5,3169.699951,1997-04-17,75,1,75,29,1,0,0,0,0,0
1,102,1554,1,124,46,4,2677.300049,1997-02-13,77,0,212,166,5,0,0,0,0,0
1,102,1555,1,124,46,4,3141.699951,1997-03-14,63,1,63,17,1,0,0,0,0,0
1,102,1556,1,124,46,4,2057.100098,1997-02-09,59,0,103,57,3,0,0,0,0,0
1,102,1557,1,124,46,4,2223.699951,1996-09-25,60,1,60,14,1,0,0,0,0,0
1,102,1557,2,124,46,5,2812.5,1997-08-29,65,1,65,19,1,0,0,0,0,0
1,102,1558,1,124,46,4,2819.399902,1997-01-27,59,0,149,103,4,0,1,0,0,0
1,102,1559,1,124,46,4,2891.899902,1997-01-17,79,0,162,116,4,0,1,1,0,0
1,102,1560,1,124,46,4,3171.899902,1996-09-13,68,1,68,22,1,0,0,0,0,0
1,102,1560,2,124,46,5,3444.899902,1997-08-29,66,1,66,20,1,0,0,0,0,0
1,102,1561,1,124,46,4,3191.199951,1997-04-17,75,0,99,53,2,0,1,0,0,0
1,102,1562,1,124,46,4,3412.899902,1997-05-03,88,1,88,42,1,0,0,0,0,0
1,102,1563,1,124,46,4,2690.899902,1997-03-12,73,1,73,27,1,0,0,0,0,0
1,102,1564,1,124,46,4,3414.100098,1996-12-23,77,0,163,117,3,0,0,0,0,0
1,102,1565,1,124,46,4,3751.399902,1997-10-18,106,,,,4,0,1,0,0,0
1,102,1566,1,124,46,4,3454.199951,1997-05-17,61,1,61,15,1,0,0,0,0,0
1,102,1567,1,124,46,4,3786.899902,1997-08-01,82,0,206,160,6,0,0,0,0,0
1,102,1568,1,124,46,3,3061.699951,1997-01-11,64,0,111,65,2,0,0,0,0,0
1,102,1569,1,124,46,3,2615.199951,1997-01-12,62,0,130,84,3,0,0,0,0,0
1,102,1570,1,124,46,3,3121.300049,1997-03-24,80,1,80,34,1,0,0,0,0,0
1,102,1571,1,124,46,3,2791.300049,1996-12-23,95,1,95,49,1,0,0,0,0,0
1,102,1572,1,124,46,2,2826.399902,1997-01-14,65,1,65,19,1,0,0,0,0,0
1,102,1573,1,124,46,3,2915.800049,1997-03-12,62,0,83,37,2,0,0,0,0,0
1,102,1574,1,124,46,3,3011.5,1997-02-11,60,1,60,14,1,0,0,0,0,0
1,102,1575,1,124,46,3,3699,1997-09-08,76,,,,10,0,0,0,0,0
1,102,1576,1,124,46,3,3669.100098,1997-04-16,71,1,71,25,1,0,0,0,0,0
1,102,1577,1,124,46,3,3559.899902,1997-09-21,47,0,70,24,2,0,0,0,0,0
1,102,1578,1,124,46,3,3459.100098,1997-07-25,59,0,142,96,3,0,0,0,0,0
1,102,1579,1,124,46,3,3072.100098,1997-03-18,79,0,143,97,2,0,0,0,0,0
1,102,1580,1,124,46,2,3379.399902,1997-04-13,75,0,117,71,2,0,1,0,0,0
1,102,1581,1,124,46,2,2623,1996-11-30,60,1,60,14,1,0,0,0,0,0
1,102,1581,2,124,46,3,3498.800049,1997-11-19,77,0,186,140,6,0,1,0,0,0
